Course Number,Course Title,Formerly Known,Last Approved Date,Last Edit Date,Long Course Title,Short Course Title,Effective Term,Equivalent Courses,Course Syllabus Links,Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Comments,Reviewer Comments,Status Head
ENGL 3710W,Contemporary Drama,,06/26/18 4:02 am,06/25/18 1:38 pm,Contemporary Drama,Contemporary Drama,Fall 2018,ENGL 3710 - Contemporary Drama,['https://next.bulletin.gwu.edu/courseadmin/2981/ENGL%20XXX.pdf'],,,,ESIA: Humanities (ESHC),,,,
ENGL 3720W,Contemporary American Literature,,07/03/18 4:02 am,06/06/18 1:22 pm,Contemporary American Literature,Contemporary American Lit,Fall 2018,ENGL 3720 - Contemporary American Literature,['https://next.bulletin.gwu.edu/courseadmin/2983/ENGL%20XXX.pdf'],,,,ESIA: Humanities (ESHC),,,"Dan Ullman (dullman) (01/27/15 4:15 pm): Rollback: Should this be designated as a special topics course? If not, how do we decide whether it is repeatable?",
ENGL 3721W,Contemporary American Literature II,,04/29/15 4:50 am,11/10/14 3:33 pm,Contemporary American Literature II,Contemporary American Lit,Fall 2015,,[],,,,ESIA: Humanities (ESHC),,,,Course Deactivation Proposal
ENGL 3730W,Topics in Global Postcolonial Literature and Film,,04/13/17 12:08 pm,08/29/23 2:45 pm,Topics in Global Postcolonial Literature and Film,Topics in Postcolonial Lit,,"ENGL 3730 - Topics in Global Postcolonial Literature and Film
WGSS 3730 - Topics in Global Postcolonial Literature and Film
WGSS 3730W - Topics in Global Postcolonial Literature and Film","['https://next.bulletin.gwu.edu/courseadmin/3123/Courseleaf%20Final%203730W.docx', 'https://next.bulletin.gwu.edu/courseadmin/3123/3730%20-%20Feedback%20from%20GPAC%20Committee.pdf', 'https://next.bulletin.gwu.edu/courseadmin/3123/GPAC%202017%20faculty%20checklist3730.pdf', 'https://next.bulletin.gwu.edu/courseadmin/3123/Courseleaf%20Final%203730W%20Poco%20Lit%20and%20Film%20Revised%20Syllabus%20approved%20by%20GPAC%20Committee.docx']",,,,,,,,Changes saved but not submitted
ENGL 3810W,Selected Topics in Literature,,06/26/18 4:02 am,06/25/18 1:37 pm,Selected Topics in Literature,Selected Topics in Literature,Fall 2018,ENGL 3810 - Selected Topics in Literature,['https://next.bulletin.gwu.edu/courseadmin/2987/blank%20page.docx'],,,,ESIA: Humanities (ESHC),,,,
ENGL 3820W,Major Authors,,09/03/18 4:02 am,06/06/18 1:24 pm,Major Authors,Major Authors,Fall 2018,ENGL 3820 - Major Authors,['https://next.bulletin.gwu.edu/courseadmin/2991/ENGL%20XXX.pdf'],,,,ESIA: Humanities (ESHC),,,,
ENGL 3830W,Topics in Literary Theory and Cultural Studies,,02/13/15 4:30 am,02/10/15 5:02 pm,Topics in Literary Theory and Cultural Studies,Topics in Literary Theory,201501,ENGL 3830 - Topics in Literary Theory and Cultural Studies,['https://next.bulletin.gwu.edu/courseadmin/2989/ENGL%20XXX.pdf'],,,,,,,,
ENGL 3840W,Gender and Literature,,07/11/17 4:04 am,07/08/17 12:37 pm,Gender and Literature,Gender and Literature,Fall 2017,,['https://next.bulletin.gwu.edu/courseadmin/3126/blank.pdf'],,,,ESIA: Humanities (ESHC),,,,
ENGL 3930W,Topics in U.S. Latina/o Literature and Culture,,06/26/18 4:02 am,06/25/18 1:40 pm,Topics in U.S. Latina/o Literature and Culture,Topics in US Latino Literature,Fall 2018,,['https://next.bulletin.gwu.edu/courseadmin/2997/ENGL%20XXX.pdf'],,,,,,,,
ENGL 3950W,Cultural Theory and Black Studies,,06/26/18 4:02 am,06/25/18 1:39 pm,Cultural Theory and Black Studies,"Cultural Theory, Black Studies",Fall 2018,ENGL 3950 - Cultural Theory and Black Studies,['https://next.bulletin.gwu.edu/courseadmin/3003/ENGL%20XXX.pdf'],,,,ESIA: Humanities (ESHC),,,,
ENGL 3960W,Asian American Literature,,06/26/18 4:02 am,06/25/18 1:40 pm,Asian American Literature,Asian American Literature,Fall 2018,ENGL 3960 - Asian American Literature,['https://next.bulletin.gwu.edu/courseadmin/3005/ENGL%20XXX.pdf'],,,,ESIA: Humanities (ESHC),,,,
ENGL 3970W,Jewish American Literature,,06/26/18 4:02 am,06/25/18 1:41 pm,Jewish American Literature,Jewish American Literature,Fall 2018,ENGL 3970 - Jewish American Literature,['https://next.bulletin.gwu.edu/courseadmin/3011/ENGL%20XXX.pdf'],,,,ESIA: Humanities (ESHC),,,,
ENGL 3980W,Queer Studies,,06/26/18 4:02 am,06/25/18 1:42 pm,Queer Studies,Queer Studies,Fall 2018,ENGL 3980 - Queer Studies,['https://next.bulletin.gwu.edu/courseadmin/3009/ENGL%20XXX.pdf'],,,,,,,,
ENGL 4040W,Honors Seminar,,06/26/18 4:02 am,06/25/18 1:42 pm,Honors Seminar,Honors Seminar,Fall 2018,ENGL 4040 - Honors Seminar,['https://next.bulletin.gwu.edu/courseadmin/3015/ENGL%20XXX.pdf'],,,,,,,,
ENGL 4220W,Creative Writing Senior Thesis,,06/26/18 4:04 am,06/25/18 1:41 pm,Creative Writing Senior Thesis,Creative Writing Senior Thesis,Fall 2018,,['https://next.bulletin.gwu.edu/courseadmin/3130/Blank.docx'],,,,,,,,
ENGL 4250W,Honors Thesis,,07/11/18 4:02 am,06/25/18 1:42 pm,Honors Thesis,Honors Thesis,Fall 2018,ENGL 4250 - Honors Thesis,['https://next.bulletin.gwu.edu/courseadmin/3020/ENGL%20XXX.pdf'],,,,,,,,
ENRP 6140,Introduction to Environmental Law,,05/13/19 4:04 am,10/31/18 11:07 am,Introduction to Environmental Law,Intro to Environmental Law,Spring 2019,,['https://next.bulletin.gwu.edu/courseadmin/3063/ENRP6140%20-%20Syllabus-3.pdf'],,,,,,,,Course Deactivation Proposal
EXCH 0237,Graduate Exchange Prog - LAW,,,,Graduate Exchange Prog - LAW,Graduate Exchange Prog - LAW,,,[],,,,,,,,
EXNS 2126W,International Nutrition,,05/18/22 4:06 am,05/15/22 12:36 pm,International Nutrition,International Nutrition,Fall 2022,,['https://next.bulletin.gwu.edu/courseadmin/26268/EXNS%202126W%20-%20International%20Nutrition%20-%20March%2017%202021.docx'],,,,,,,Phil Troutman (trout) (04/21/22 4:15 pm): Meets all WID criteria.,
EXNS 1119W,Children and Sport,,06/25/19 4:07 am,06/20/19 10:51 am,Children and Sport,Children and Sport,Summer 2019,,['https://next.bulletin.gwu.edu/courseadmin/9573/EXNS1119-BowesC.doc'],,,,,,,,
EXNS 2117W,Sport Psychology,,06/25/19 4:07 am,06/20/19 10:52 am,Sport Psychology,Sport Psychology,Summer 2019,,['https://next.bulletin.gwu.edu/courseadmin/9602/EXNS2117W-BowesN.doc'],,,,,,,,
EXNS 3111W,Exercise and Nutrition Sciences Research Methods,,01/11/24 4:03 am,01/09/24 10:32 am,Exercise and Nutrition Sciences Research Methods,Excer&Nutrition Sci Res Methds,Spring 2024,,['https://next.bulletin.gwu.edu/courseadmin/12092/EXNS%203111W%20EXNS%20Research%20Methods%20-%20Fall%202024.docx'],,,,,,Rolled back out of the workflow from the University Writing step as it has already been approved as a WID course. The only change is to prerequisites. The request has been at the UW step since October 2023 and was submitted to be effective 2024. I am resubmitting and with an abbreviated workflow that goes from the EXNS chair directly to me.,"Beverly Westerman (bev) (10/30/23 5:15 pm): Rollback: Syllabus correction
Gina Harris (gharris) (01/09/24 10:28 am): Rollback: At request of Patti Plaza",
EXNS 3123W,Psychology of Injury and Rehabilitation,,11/13/20 4:12 am,11/10/20 12:15 pm,Psychology of Injury and Rehabilitation,Psychology of Injury & Rehab,Spring 2021,,['https://next.bulletin.gwu.edu/courseadmin/9612/EXNS%203123W-Psych%20of%20Injury%20%26%20Rehab_Visek_v1.docx'],,,,,,,"Phil Troutman (trout) (10/21/20 10:16 pm): I only see 33% of course grade based on graded writing; WID requires 40%. Emailed Prof. Visek for clarification/revision.
Phil Troutman (trout) (10/22/20 3:14 pm): Prof. Visek clarified by email that peer review here is treated as a genre of the discipline, and counts towards the 40% min. of graded writing. Approving for WID.",
EXSC 1119W,Children and Sport,,04/28/15 4:34 am,04/14/15 3:37 pm,Children and Sport,Children and Sport,Summer 2015,,[],,,,,,,,Course Deactivation Proposal
EXSC 2117W,Sport Psychology,,05/13/15 4:20 am,04/14/15 3:40 pm,Sport Psychology,Sport Psychology,Summer 2015,,[],,,,,,,,Course Deactivation Proposal
EXSC 3123W,Psych of Injury & Performance,,05/13/15 4:21 am,04/14/15 3:47 pm,Psych of Injury & Performance,Psych of Injury & Performance,Summer 2015,,[],,,,,,,,Course Deactivation Proposal
EXSC 3140,Sport and the Law,,04/28/15 4:33 am,04/14/15 4:30 pm,Sport and the Law,Sport and the Law,Summer 2015,,['https://next.bulletin.gwu.edu/courseadmin/8629/EXSC%203140%20Sport%20and%20the%20Law%20(1).docx'],,,,,,,,Course Deactivation Proposal
FINA 3201W,Exploring Finance with Simulation,,07/17/17 4:02 am,07/12/17 5:19 pm,Exploring Finance with Simulation,Exploring Finance w/Simulation,Fall 2017,,['https://next.bulletin.gwu.edu/courseadmin/3349/Blank%20Word%20Document.docx'],,,,,,,,
FINA 3401W,A Brief History of Finance,,07/21/16 4:04 am,07/17/16 6:10 pm,A Brief History of Finance,A Brief History of Finance,Fall 2016,FINA 3401 - A Brief History of Finance,['https://next.bulletin.gwu.edu/courseadmin/10459/FINA%203401%20Syllabus%20A%20Brief%20History%20of%20Finance.docx'],,,,,,Replaces Fina 4900W History of Finance,,
FINA 4001W,Advanced Financial Management,,07/25/19 4:05 am,07/06/19 11:07 am,Advanced Financial Management,Advanced Financial Management,Fall 2019,,['https://next.bulletin.gwu.edu/courseadmin/3476/Blank.docx'],,,,,,,,
FINA 4121W,Exploring Finance with Simulation,,07/03/18 4:04 am,06/06/18 2:10 pm,Exploring Finance with Simulation,Exploring Finance w/Simulation,Fall 2018,,['https://next.bulletin.gwu.edu/courseadmin/3478/place%20holder.pdf'],,,,,,,,
FINA 4900W,Special Topics,,06/26/18 4:04 am,06/25/18 3:23 pm,Special Topics,Special Topics,Fall 2018,,['https://next.bulletin.gwu.edu/courseadmin/3481/Blank.docx'],,,,,,,,
FINA 6245,Land Development Law,,,03/11/24 2:48 pm,Land Development Law,Land Development Law,Fall 2024,,[],,,,,,,,Course Deactivation Proposal
FORP 6114,Issues in Family Law,,09/30/16 4:03 am,08/21/16 10:05 pm,Issues in Family Law,Issues in Family Law,Fall 2016,,['https://next.bulletin.gwu.edu/courseadmin/2807/CCAS%20Syllabus%20-%20Issues%20in%20Family%20Law.pdf'],,,,,,,"Jeff Brand (jbb) (02/13/16 9:58 pm): Rollback: Syllabus must contain the required CCAS boilerplate regarding: Course requirements and grading; Attendance and Participation; Goals and Learning Outcomes; Academic Integrity; Support for Students Outside the Classroom, Security. Consult syllabus template.",
FORS 2104W,Introduction to Forensic Sciences,,07/11/18 4:02 am,03/11/19 2:11 pm,Introduction to Forensic Sciences,Intro to Forensic Sciences,Fall 2019,FORS 2104 - Introduction to Forensic Sciences II,['https://next.bulletin.gwu.edu/courseadmin/3397/Introduction%20to%20the%20Forensic%20Sciences%20syllabus.docx'],,,,,,,,Changes saved but not submitted
FORS 6259,Computer Related Law,,08/09/18 4:06 am,06/19/18 1:09 pm,Computer Related Law,Computer Related Law,Fall 2018,,[],,,,,,,,Course Deactivation Proposal
FORS 6260,Security Case Law,,07/11/18 4:06 am,06/19/18 1:10 pm,Security Case Law,Security Case Law,Fall 2018,,[],,,,,,,,Course Deactivation Proposal
FREN 4600W,Special Topics in French Literature,,04/21/21 4:05 am,04/10/21 4:34 pm,Special Topics in French Literature,Special Topics,Fall 2021,,"['https://next.bulletin.gwu.edu/courseadmin/26171/IAFF%20WID%20Special%20Topics%20Template%20Updated%20May%202020.pdf', 'https://next.bulletin.gwu.edu/courseadmin/26171/FREN%204600W%20sample%20syllabus.docx']",,,,ESIA: Humanities (ESHC),,"I am creating this course as a WID, but it is unclear how I indicate this in the workflow? Also, the G-PAC attributes were never selected.","Phil Troutman (trout) (03/08/21 3:13 pm): Prof. Kleppinger's syllabus satisfies WID criteria. Attaching WID Special Topics template to guide faculty members and department in making sure that WID criteria are followed for any course offered under this number each term going forward.
Susan DeCicco (susandecicco) (03/09/21 3:56 pm): Rollback: Hello. With regards to the syllabus: Please include a place for the class meeting location and semester and year. Please list the learning outcomes. The semester schedule should list a total of 15 weeks; 14 weeks of lecture and 1 week for the final. The GPAC faculty checklist used for submitting a GPAC proposal for review can be found: https://academicplanning.gwu.edu/proposing-general-education-course-gpac The current University syllabus containing the following University policies: Disability Support Services, Counseling and Psychological Services (formerly Mental Health Services), University policy on observance of religious holidays and Safety and security can be found: https://academicplanning.gwu.edu/ Thank you, Susan.
Susan DeCicco (susandecicco) (03/30/21 8:43 am): Rollback: Hello. With regards to the syllabus: The course schedule appears to have 16 weeks, not 15. This course is not on record for having a GPAC attribute. The GPAC faculty checklist used for submitting a GPAC proposal for review can be found: https://academicplanning.gwu.edu/proposing-general-education-course-gpac The current University syllabus containing the following University policies: Disability Support Services and observance of religious holidays can be found: https://academicplanning.gwu.edu/ Thank you, Susan.",
FREN 3010W,"Advanced French Language, Structure, and Composition",,07/21/20 4:06 am,07/09/20 3:40 pm,"Advanced French Language, Structure, and Composition",Adv French Lang/ Structur/Comp,Fall 2020,,['https://next.bulletin.gwu.edu/courseadmin/3707/FREN%203010W%20-%20Hurst%20revised%20syllabus%20Advanced%20French%20Language%2C%20Structure%20and%20Composition.pdf'],,,,,,,Phil Troutman (trout) (04/28/20 2:25 pm): Attached revised syllabus with Prof. Hurst's permission; approving for WID.,
FREN 3100W,Introduction to French Literature,,11/14/18 4:07 am,11/13/18 12:24 pm,Introduction to French Literature,Intro to French Literature,Spring 2019,,"['https://next.bulletin.gwu.edu/courseadmin/3671/blank%20page.docx', 'https://next.bulletin.gwu.edu/courseadmin/3671/Syllabus%203100.docx']",University general education: Critical analysis in the humanities (CAH),,,ESIA: European and Eurasia concentration (ERCC),,"We are requesting to remove ALL G-PAC attributes (Critical Thinking, Cross-Cultural Perspective) from this course, beginning Spring 2019.","Megan May (mfmay) (10/02/18 2:46 pm): Rollback: Please add a statement referencing the security and safety policy to the syllabus. Also, please shorten the course description to two sentences in CourseLeaf.
Megan May (mfmay) (10/08/18 9:55 am): Rollback: Please shorten the course description to two lines",
FREN 3600W,Special Topics in French Literature and Culture,,04/13/17 11:09 am,01/16/20 12:27 pm,Special Topics in French Literature and Culture,Topics: French Lit and Culture,,,['https://next.bulletin.gwu.edu/courseadmin/10125/Victor%20Hugo%20and%20the%2019th%20c%20Syllabus%20revised%2011_13.doc'],,,,,,Learning objectives need to be added.,,Changes saved but not submitted
FREN 4920W,Senior Honors in French Proseminar II,,,03/06/24 4:03 pm,Senior Honors in French Proseminar II,Senior Honors in French Proseminar II,Spring 2025,,['https://next.bulletin.gwu.edu/courseadmin/3712/FREN%204920%20coursleaf.docx'],,,,,,,Phil Troutman (trout) (03/06/24 4:03 pm): Confirmed w/ dept. that WID criteria are all included; approved.,
GCON 6511,Federal Grants Law,,07/16/18 4:06 am,06/25/18 3:33 pm,Federal Grants Law,Federal Grants Law,Fall 2018,LAW 6514 - Federal Grants Law,['https://next.bulletin.gwu.edu/courseadmin/11752/GCON%206511%20-%20Federal%20Grants%20Law.doc'],,,,,,,,
GEOG 2129W,Biogeography,,05/13/20 4:11 am,05/07/20 4:16 pm,Biogeography,BiogeographyW,Fall 2020,,['https://next.bulletin.gwu.edu/courseadmin/25655/GEOG%202129%20WID%20Syllabus_2.docx'],,,,ESIA: Anthropology/Geography (ESAG),,,"Phil Troutman (trout) (03/02/20 11:58 pm): With permission of Prof. Ginger Allington, attached her revised syllabus and Approved. (Also corrected one error in course objectives in Courseleaf listings above; all 5 were there but two were in same box).
Susan DeCicco (susandecicco) (03/03/20 8:07 am): Rollback: Hello. With regards to the syllabus: The semester should list a total of 15 weeks; 14 weeks of instruction and the final exam should be on Week 15. Please note if the textbooks are required, supplemental or recommended. The current wording for the following University policies: Disability Support Services, Counseling and Psychological Services (formerly Mental Health Services), University policy on observance of religious holidays and Safety and security are located in link below. Thank you, Susan. https://academicplanning.gwu.edu/sites/g/files/zaxdzs2521/f/downloads/Syllabus_Template_APA_updated%20October%202019.pdf.
Gina Harris (gharris) (05/07/20 3:21 pm): Rollback: To relate to non-WID course as same as
Gina Harris (gharris) (05/07/20 4:16 pm): Added ""W"" to end of short title to differentiate it from that of the non-WID course. Eventually these courses need to be made 'same as.'",
GEOG 0701W,To be announced,,,,To be announced,To be announced,,,[],,,,,,,,Course Deactivation Proposal
GEOG 2134W,Energy Resources,,06/30/17 4:03 am,06/28/17 6:37 pm,Energy Resources,Energy Resources,Fall 2017,,['https://next.bulletin.gwu.edu/courseadmin/3728/blank.pdf'],,,,ESIA: Conflict resolution concentration (EFCB),,,,
GEOG 2140W,Urban Geography,,06/30/17 4:03 am,06/28/17 6:39 pm,Urban Geography,Urban Geography,Fall 2017,,['https://next.bulletin.gwu.edu/courseadmin/3730/blank.pdf'],,,,,,,,
GEOG 2145W,Cultural Geography,,06/26/20 4:10 am,05/11/20 3:51 pm,Cultural Geography,Cultural Geography,Summer 2020,,['https://next.bulletin.gwu.edu/courseadmin/3734/blank.pdf'],,,,ESIA: Contemporary cultures and societies concentration (EFCC),,,Phil Troutman (trout) (05/11/20 3:51 pm): Note re: WID: This is now GEOG 3145W; therefore deletion.,Course Deactivation Proposal
GEOG 3143W,Urban Sustainability,,04/22/22 4:05 am,10/02/23 2:28 pm,Urban Sustainability,Urban Sustainability,,,['https://next.bulletin.gwu.edu/courseadmin/3745/GEOG3134W_Keeley_Spring22%20syllabus%20GPAC%20(1).pdf'],University general education: Critical analysis in the social sciences (CASS),CCAS G-PAC: Local/Civil engagement (CLCE),,ESIA: Anthropology/Geography (ESAG),,,,Changes saved but not submitted
GEOG 3145W,Cultural Geography,,01/29/19 10:16 am,01/16/19 10:25 am,Cultural Geography,Cultural Geography,Fall 2019,GEOG 3145 - Cultural Geography,['https://next.bulletin.gwu.edu/courseadmin/11832/GEOG%203145W.doc'],,,,,,Added GEOG 3145 as an equivalent.,Gina Harris (gharris) (01/16/19 10:25 am): Rollback: Needs follow up with department re: number of classes scheduled for the semester.,
GEOG 4195W,Proseminar in Geographic Thought,,06/27/18 4:04 am,06/06/18 2:39 pm,Proseminar in Geographic Thought,Proseminar-Geographic Thought,Fall 2018,,['https://next.bulletin.gwu.edu/courseadmin/3788/blank.pdf'],,,,,,,,
GEOL 3193,Intro to Environmental Law,,10/10/14 4:16 am,03/19/14 7:39 pm,Intro to Environmental Law,Intro to Environmental Law,201403,,[],,,,,,,,Course Deactivation Proposal
GEOL 4195W,Geological Field Methods,,06/26/18 4:04 am,06/25/18 1:53 pm,Geological Field Methods,Geological Field Methods,Fall 2018,,['https://next.bulletin.gwu.edu/courseadmin/3843/Blank.docx'],,,,,,,,
GER 2109W,Advanced Conversation and Composition,,08/29/20 4:08 am,08/25/20 12:35 pm,Advanced Conversation and Composition,Advanced Conversation & Comp,Fall 2020,GER 2109 - Advanced Conversation and Composition,['https://next.bulletin.gwu.edu/courseadmin/3863/German%202109W.docx'],,CCOM,,,,,"Gordon Mantler (gomantler) (01/30/18 2:01 pm): Rollback: As we established this week, a course can have both GPAC characteristics (including Oral Communication) and be a WID. In fact, they complement each other. Thanks!
Gil Huerta (ghuerta) (02/02/18 4:29 pm): Rollback: Carliss - Mary Beth Stein decided not to deactivate this course. GER 2109W will be offered as a WID as well as with the oral communication GPAC feature. Course should be submitted as an edit with Oral communication checked under GPAC. Please delete deactivation request or change it to a Course Edit request.
candaceg (02/16/18 12:43 pm): Rollback: The department wishes to change the name of this course.",
GER 2110W,Germany in the Age of Globalization Introduction to German Studies II,,07/04/17 4:04 am,10/23/20 4:27 pm,Germany in the Age of Globalization Introduction to German Studies II,Ger in the Age-Globilization Introduction to German Studies,Fall 2020,GER 2110 - Germany in the Age of Globalization,"['https://next.bulletin.gwu.edu/courseadmin/3865/WID%20Special%20Topics%20Syllabus%20Template%20University%20Wide%207%2023%2020.pdf', 'https://next.bulletin.gwu.edu/courseadmin/3865/Ger2110W%20-revised10-23-2020-2.docx']",,,,,,,"Phil Troutman (trout) (06/11/20 9:34 am): With Prof. Liana Chen's permission, attached revised syllabus. Inserted objectives to match those on her revised syllabus.
Phil Troutman (trout) (08/11/20 1:24 pm): Note: by mistake I inserted the wrong learning objectives and syllabus here. Contacted Tony Lopez for replacements so I can reinsert w/ his permission w/out rolling back to him.
Phil Troutman (trout) (10/23/20 4:27 pm): Attaching Prof. Mary Beth Stein's revised syllabus and re-entering the Course Objectives above (both by her permission). Approving for WID.
Susan DeCicco (susandecicco) (10/27/20 3:32 pm): Rollback: Hello. Records for the GPACS listed in the syllabus: CAH, CGCC and CCOM are not on file for this course. A GPAC request can be submitted to the GPAC Committee for review. Cannot determine that there are 14 weeks of lecture and 1 week for the final (total 15 weeks) in the course schedule. The current wording for the following University policies: Disability Support Services, Counseling and Psychological Services (formerly Mental Health Services), University policy on observance of religious holidays and Safety and security are located in link below. Thank you, Susan. https://academicplanning.gwu.edu/sites/g/files/zaxdzs2521/f/downloads/Syllabus_Template_APA_updated%20October%202019.pdf",Changes saved but not submitted
GREK 2002W,Intermediate Classical Greek II,,01/14/19 3:41 pm,01/11/19 2:08 pm,Intermediate Classical Greek II,Intermediate Classical Grek II,Spring 2019,,"['https://next.bulletin.gwu.edu/courseadmin/3908/blank.pdf', 'https://next.bulletin.gwu.edu/courseadmin/3908/18Grk2002-3002syllWIDFINAL.pdf']",,,,,,,,
GREK 3001W,Major Greek Authors II,,,,Major Greek Authors II,Major Greek Authors II,,,[],,,,,,,,
GREK 3002W,Major Greek Authors II,,01/29/19 10:16 am,01/25/19 4:44 pm,Major Greek Authors II,Major Greek Authors II,Spring 2019,,['https://next.bulletin.gwu.edu/courseadmin/3917/18Grk2002-3002syllWIDFINAL.pdf'],,,,,,,,
GTCH 3201W,Perspectives on Mathematics and Science,,05/07/20 4:12 am,04/14/20 2:57 pm,Perspectives on Mathematics and Science,Perspectives: Math and Science,Spring 2020,,['https://next.bulletin.gwu.edu/courseadmin/9886/Perspectives%203201W%20Syllabus%20Updated%20March%202020.pdf'],,,,,,Requested updates to syllabus have been made.,"Susan DeCicco (susandecicco) (02/28/20 10:50 am): Rollback: Hello. With regards to the syllabus: Please have a place for the semester and year and list the pre-requisites. The semester should list 15 weeks and the final exam should be on Week 15. The current wording for the following University policies: Disability Support Services, Counseling and Psychological Services (formerly Mental Health Services), University policy on observance of religious holidays and Safety and security are in link below. Thank you, Susan. https://academicplanning.gwu.edu/sites/g/files/zaxdzs2521/f/downloads/Syllabus_Template_APA_updated%20October%202019.pdf",
HCS 2100,Clinical Medicine Review,,,,Clinical Medicine Review,Clinical Medicine Review,,,[],,,,,,,,
HEBR 3002W,Modern Hebrew Fiction,,,,Modern Hebrew Fiction,Modern Hebrew Fiction,,,[],,,,,,,,Course Deactivation Proposal
HEBR 3003W,The Israeli Media,,,,The Israeli Media,The Israeli Media,,,[],,,,,,,,Course Deactivation Proposal
HEBR 3101,Modern Hebrew Literary Classics in Translation,,03/06/20 4:12 am,03/05/20 11:30 am,Modern Hebrew Literary Classics in Translation,Modern Hebrew Literary Classic,Fall 2020,,['https://next.bulletin.gwu.edu/courseadmin/4129/3101-Modern-Hebrew-Literary-Classics-Translation.pdf'],University general education: Critical analysis in the humanities (CAH),CCOM,,ESIA: Humanities (ESHC),,,Rachel Riedner (rach) (11/03/19 8:35 am): Rollback: Please see updated syllabus template and add required fields: https://academicplanning.gwu.edu/sites/g/files/zaxdzs2521/f/downloads/Syllabus_Template_APA_updated%20October%202019.pdf,
HEBR 3104W,Gender and Sexuality in Israel,,06/25/19 4:09 am,01/23/20 9:34 am,Gender and Sexuality in Israel,Gender and Sexuality in Israel,,,['https://next.bulletin.gwu.edu/courseadmin/11583/HEBR%203104%20-%20gender-and-sexuality-syllabus-WID.pdf'],,,,ESIA: Middle East concentration (ERCE),,,,Changes saved but not submitted
HEBR 3301W,Modern Hebrew Fiction,,07/04/17 4:04 am,06/30/17 4:11 pm,Modern Hebrew Fiction,Modern Hebrew Fiction,Fall 2017,,['https://next.bulletin.gwu.edu/courseadmin/4112/blank.pdf'],,,,,,,,
HEBR 3302W,The Israeli Media,,07/04/17 4:04 am,06/30/17 4:13 pm,The Israeli Media,The Israeli Media,Fall 2017,,['https://next.bulletin.gwu.edu/courseadmin/4114/blank.pdf'],,,,,,,,
HEBR 4001W,Advanced Hebrew Literature I,,06/25/19 4:10 am,06/20/19 10:58 am,Advanced Hebrew Literature I,Advanced Hebrew Literature I,Summer 2019,,[],,,,ESIA: Humanities (ESHC),,,,
HIST 3364W,American Slavery and Its Legacies,,,02/12/24 5:33 pm,American Slavery and Its Legacies,American Slavery and Legacies,Fall 2024,,['https://next.bulletin.gwu.edu/courseadmin/26817/Am%20Slavery%20and%20Legacies.docx'],,,,,,Adding a note here that the current syllabus attached does not meet WID criteria.,Gina Harris (gharris) (11/01/23 12:00 pm): Rollback: History needs to do further work to make connections with an AMST course and a WGSS course.,"New Course Proposal
Changes saved but not submitted"
HIST 1120W,European Civilization in its World Context,,09/30/16 4:04 am,08/19/16 9:29 am,European Civilization in its World Context,European Civ in World Context,Fall 2016,,['https://next.bulletin.gwu.edu/courseadmin/3948/SP14%20-%201120%20-%20BURNS.pdf'],University general education: Critical analysis in the humanities (CAH),CCAS G-PAC: Global/Cross cultural perspective (CGCC),,,,CCAS-GPAC: Humanities and Global/Cross-Cultural attribute added per instruction from B. Gilligan,"Gil Huerta (ghuerta) (01/26/16 3:04 pm): Rollback: Hi Michael. I'm assuming you meant to submit this for Fall 2016? If this is a current WID course on the books, I can go ahead with the approval once the accurate term is changed. Thanks! ~Gil",
HIST 2005W,Majors’ Introductory Seminar,,06/30/17 4:02 am,06/28/17 7:43 pm,Majors’ Introductory Seminar,Majors’ Introductory Seminar,Fall 2017,HIST 2005 - Majors’ Introductory Seminar,['https://next.bulletin.gwu.edu/courseadmin/3942/HIST%202005W%20-%20ANBINDER%20-%20LINCOLN%20SYL.pdf'],,,,,,,,
AMST 2020W,"Washington, DC: History, Culture, and Politics",,01/09/20 4:07 am,11/06/19 10:01 am,"Washington, DC: History, Culture, and Politics","Wash DC:Hist,Culture,Politics",Spring 2020,,['https://next.bulletin.gwu.edu/courseadmin/230/Blank.pdf'],University general education: Critical analysis in the humanities (CAH),CCAS G-PAC: Local/Civil engagement (CLCE),,,,,,
HIST 2105W,Majors’ Introductory Seminar: Europe,,06/27/18 4:04 am,01/15/20 11:08 am,Majors’ Introductory Seminar: Europe,Majors' Intro Seminar - Europe,,,['https://next.bulletin.gwu.edu/courseadmin/4141/Blank.docx'],,,,ESIA: European and Eurasia concentration (ERCC),,,,Changes saved but not submitted
HIST 2305W,Majors’ Introductory Seminar: United States,,06/27/18 4:04 am,06/06/18 3:02 pm,Majors’ Introductory Seminar: United States,Majors' Intro Seminar - US,Fall 2018,,['https://next.bulletin.gwu.edu/courseadmin/4147/Blank.docx'],,,,,,,,
HIST 2340W,U.S. Diplomatic History,,08/17/17 4:04 am,08/16/17 2:38 pm,U.S. Diplomatic History,U.S. Diplomatic History,Fall 2017,,['https://next.bulletin.gwu.edu/courseadmin/4153/place%20holder.pdf'],,,,,,,,
AMST 2410,Modern U.S. Immigration,,05/27/22 4:06 am,04/29/22 5:24 pm,Modern U.S. Immigration,Modern U.S. Immigration,Summer 2022,,['https://next.bulletin.gwu.edu/courseadmin/242/AMST-HIST%202410-80W_WIDproposal_Dec19.pdf'],University general education: Critical analysis in the humanities (CAH),CCAS G-PAC: Global/Cross cultural perspective (CGCC),,,,,,
